date,oper_margin
2013-04-20,19.0408
2013-05-20,18.896
2013-06-20,18.896
2013-07-20,18.896
2013-08-20,18.4832
2013-09-20,17.6663
2013-10-20,18.0162
2013-11-20,18.564
2013-12-20,18.564
2014-01-20,18.564
2014-02-20,18.4435
2014-03-20,18.6131
2014-04-20,17.6147
2014-05-20,18.1567
2014-06-20,18.1567
2014-07-20,18.1567
2014-08-20,18.1813
2014-09-20,18.3617
2014-10-20,18.4739
2014-11-20,19.0003
2014-12-20,19.0003
2015-01-20,19.0003
2015-02-20,18.1063
2015-03-20,19.0556
2015-04-20,18.3738
2015-05-20,18.9662
2015-06-20,18.9709
2015-07-20,19.3716
2015-08-20,18.4285
2015-09-20,18.6752
2015-10-20,18.9506
2015-11-20,18.7958
2015-12-20,18.8218
2016-01-20,18.8218
2016-02-20,18.2337
2016-03-20,18.3882
2016-04-20,18.1383
2016-05-20,18.1695
2016-06-20,18.1524
2016-07-20,18.3099
2016-08-20,17.6269
2016-09-20,17.1437
2016-10-20,17.4
2016-11-20,17.3872
2016-12-20,17.4216
2017-01-20,17.4216
2017-02-20,17.5383
2017-03-20,17.4222
2017-04-20,17.2908
2017-05-20,17.4306
2017-06-20,17.4156
2017-07-20,17.5842
2017-08-20,17.9194
2017-09-20,18.1231
2017-10-20,18.3113
2017-11-20,18.2621
2017-12-20,18.3989
2018-01-20,18.3989
2018-02-20,18.4096
2018-03-20,18.7614
2018-04-20,19.1205
2018-05-20,19.0851
2018-06-20,19.085
2018-07-20,19.5592
2018-08-20,19.4843
2018-09-20,20.1944
2018-10-20,20.6671
2018-11-20,20.6634
2018-12-20,20.816
2019-01-20,20.816
2019-02-20,20.9584
2019-03-20,21.2942
2019-04-20,19.6872
2019-05-20,19.5507
2019-06-20,19.5506
2019-07-20,19.812
2019-08-20,19.8356
2019-09-20,19.5804
2019-10-20,19.7741
2019-11-20,19.7718
2019-12-20,19.7993
2020-01-20,19.7993
2020-02-20,19.6506
2020-03-20,19.4248
2020-04-20,18.5367
2020-05-20,18.5282
2020-06-20,18.5268
2020-07-20,17.1857
2020-08-20,17.1222
2020-09-20,15.9078
2020-10-20,16.2393
2020-11-20,16.2386
2020-12-20,16.0279
2021-01-20,16.0279
2021-02-20,15.6837
2021-03-20,15.61
2021-04-20,16.5287
2021-05-20,16.7747
2021-06-20,16.7742
2021-07-20,16.5448
2021-08-20,18.126
2021-09-20,18.1267
2021-10-20,18.1
2021-11-20,18.0984
2021-12-20,18.121
2022-01-20,18.1476
2022-02-20,17.8946
2022-03-20,17.9443
2022-04-20,16.6408
2022-05-20,16.6536
2022-06-20,16.6545
2022-07-20,16.6376
2022-08-20,15.3711
2022-09-20,14.693
2022-10-20,14.5966
2022-11-20,14.5771
2022-12-20,14.6405
2023-01-20,14.6405
2023-02-20,14.8203
2023-03-20,14.6802
2023-04-20,14.0131
2023-05-20,13.7044
2023-06-20,14.6777
2023-07-20,14.6702
2023-08-20,14.6523
2023-09-20,14.6776
2023-10-20,14.6159
2023-11-20,14.7026
2023-12-20,15.3135
2024-01-20,15.3051
2024-02-20,15.2814
2024-03-20,15.264
2024-04-20,14.2142
2024-05-20,14.099
2024-06-20,14.0927
2024-07-20,14.5104
2024-08-20,14.5166
2024-09-20,14.5116
2024-10-20,14.4541
2024-11-20,14.4797
2024-12-20,15.422
2025-01-20,15.4193
2025-02-20,15.4519
2025-03-20,15.4315
2025-04-20,15.2474
2025-05-20,15.5451
2025-06-20,15.3442
2025-07-20,15.3797
2025-08-20,15.3661
2025-09-20,14.4338
2025-10-20,14.5248
2025-11-20,14.37
2025-12-20,14.1018
2026-01-20,14.0906
2026-02-20,14.141
2026-03-20,14.1271
2026-04-20,13.8241
