date,pb
2013-04-16,1.4181
2013-05-16,1.5304
2013-06-16,1.5072
2013-07-16,1.4003
2013-08-16,1.3791
2013-09-16,1.3651
2013-10-16,1.4416
2013-11-16,1.4634
2013-12-16,1.506
2014-01-16,1.4697
2014-02-16,1.3645
2014-03-16,1.4141
2014-04-16,1.3146
2014-05-16,1.3244
2014-06-16,1.3811
2014-07-16,1.3877
2014-08-16,1.4859
2014-09-16,1.4185
2014-10-16,1.3139
2014-11-16,1.384
2014-12-16,1.3834
2015-01-16,1.3614
2015-02-16,1.4019
2015-03-16,1.42
2015-04-16,1.3894
2015-05-16,1.5697
2015-06-16,1.5302
2015-07-16,1.4646
2015-08-16,1.343
2015-09-16,1.1333
2015-10-16,1.128
2015-11-16,1.2251
2015-12-16,1.1903
2016-01-16,1.1858
2016-02-16,1.0654
2016-03-16,1.0345
2016-04-16,1.1139
2016-05-16,1.1313
2016-06-16,1.1178
2016-07-16,1.1167
2016-08-16,1.1426
2016-09-16,1.1635
2016-10-16,1.2222
2016-11-16,1.2032
2016-12-16,1.1956
2017-01-16,1.1542
2017-02-16,1.1989
2017-03-16,1.2184
2017-04-16,1.2628
2017-05-16,1.2892
2017-06-16,1.344
2017-07-16,1.3494
2017-08-16,1.3996
2017-09-16,1.3484
2017-10-16,1.3331
2017-11-16,1.3739
2017-12-16,1.4192
2018-01-16,1.4553
2018-02-16,1.5487
2018-03-16,1.4525
2018-04-16,1.3767
2018-05-16,1.4114
2018-06-16,1.3959
2018-07-16,1.3265
2018-08-16,1.2466
2018-09-16,1.3622
2018-10-16,1.3597
2018-11-16,1.2223
2018-12-16,1.297
2019-01-16,1.2647
2019-02-16,1.304
2019-03-16,1.3363
2019-04-16,1.3518
2019-05-16,1.3819
2019-06-16,1.2517
2019-07-16,1.3281
2019-08-16,1.226
2019-09-16,1.145
2019-10-16,1.1617
2019-11-16,1.1979
2019-12-16,1.173
2020-01-16,1.2551
2020-02-16,1.1414
2020-03-16,1.1335
2020-04-16,1.0164
2020-05-16,1.0617
2020-06-16,0.9892
2020-07-16,1.0194
2020-08-16,1.0265
2020-09-16,1.0571
2020-10-16,0.9861
2020-11-16,1.0134
2020-12-16,1.1073
2021-01-16,1.1447
2021-02-16,1.2238
2021-03-16,1.2539
2021-04-16,1.2847
2021-05-16,1.3019
2021-06-16,1.3212
2021-07-16,1.3065
2021-08-16,1.195
2021-09-16,1.248
2021-10-16,1.1845
2021-11-16,1.2232
2021-12-16,1.1315
2022-01-16,1.1277
2022-02-16,1.2365
2022-03-16,1.1799
2022-04-16,1.1539
2022-05-16,1.1049
2022-06-16,1.1219
2022-07-16,1.1452
2022-08-16,1.0665
2022-09-16,1.1308
2022-10-16,0.9788
2022-11-16,0.8347
2022-12-16,1.0569
2023-01-16,1.1242
2023-02-16,1.3039
2023-03-16,1.1811
2023-04-16,1.1955
2023-05-16,1.1667
2023-06-16,1.0279
2023-07-16,1.0666
2023-08-16,1.1321
2023-09-16,1.091
2023-10-16,1.059
2023-11-16,1.0176
2023-12-16,1.004
2024-01-16,1.0042
2024-02-16,0.9122
2024-03-16,0.9727
2024-04-16,0.9628
2024-05-16,1.0365
2024-06-16,1.055
2024-07-16,1.0234
2024-08-16,1.0018
2024-09-16,1.0322
2024-10-16,1.214
2024-11-16,1.1671
2024-12-16,1.0683
2025-01-16,1.1033
2025-02-16,1.1124
2025-03-16,1.2618
2025-04-16,1.3122
2025-05-16,1.2543
2025-06-16,1.257
2025-07-16,1.2997
2025-08-16,1.3375
2025-09-16,1.3249
2025-10-16,1.4339
2025-11-16,1.3833
2025-12-16,1.3891
2026-01-16,1.3768
2026-02-16,1.4712
2026-03-16,1.4305
2026-04-16,1.3698
