date,ev_ebitda
2004-01-20,18.1659
2004-02-20,18.3057
2004-03-20,18.2781
2004-04-20,19.1079
2004-05-20,18.9366
2004-06-20,18.9366
2004-07-20,17.9373
2004-08-20,17.9402
2004-09-20,17.9402
2004-10-20,17.8248
2004-11-20,17.8248
2004-12-20,15.3608
2005-01-20,15.169
2005-02-20,15.2137
2005-03-20,15.1047
2005-04-20,15.7871
2005-05-20,15.7672
2005-06-20,15.7653
2005-07-20,13.9022
2005-08-20,13.9903
2005-09-20,13.9903
2005-10-20,14.0511
2005-11-20,14.0511
2005-12-20,13.777
2006-01-20,14.5235
2006-02-20,14.4235
2006-03-20,14.0537
2006-04-20,14.7034
2006-05-20,14.7148
2006-06-20,16.2108
2006-07-20,16.2958
2006-08-20,16.3061
2006-09-20,14.5501
2006-10-20,14.5846
2006-11-20,14.5818
2006-12-20,14.5878
2007-01-20,14.5661
2007-02-20,14.6248
2007-03-20,14.5825
2007-04-20,14.9933
2007-05-20,14.9875
2007-06-20,14.2675
2007-07-20,14.2721
2007-08-20,14.3664
2007-09-20,15.0436
2007-10-20,15.0739
2007-11-20,15.0967
2007-12-20,15.0892
2008-01-20,15.58
2008-02-20,15.6033
2008-03-20,15.6175
2008-04-20,15.6915
2008-05-20,15.2012
2008-06-20,15.2004
2008-07-20,15.245
2008-08-20,12.5144
2008-09-20,12.5144
2008-10-20,12.5144
2008-11-20,12.584
2008-12-20,12.584
2009-01-20,12.584
2009-02-20,10.5389
2009-03-20,10.5244
2009-04-20,10.5244
2009-05-20,9.5225
2009-06-20,9.5225
2009-07-20,9.5371
2009-08-20,10.6866
2009-09-20,10.6819
2009-10-20,10.6819
2009-11-20,13.2618
2009-12-20,13.2595
2010-01-20,13.2595
2010-02-20,15.3717
2010-03-20,15.3658
2010-04-20,15.3833
2010-05-20,11.9747
2010-06-20,11.9743
2010-07-20,11.9957
2010-08-20,11.2058
2010-09-20,11.2058
2010-10-20,11.1877
2010-11-20,8.9532
2010-12-20,8.9531
2011-01-20,8.9531
2011-02-20,9.5687
2011-03-20,9.5478
2011-04-20,9.5471
2011-05-20,9.9511
2011-06-20,9.9507
2011-07-20,9.9876
2011-08-20,9.9425
2011-09-20,9.9425
2011-10-20,8.7099
2011-11-20,8.706
2011-12-20,8.7059
2012-01-20,7.7455
2012-02-20,7.7378
2012-03-20,7.8589
2012-04-20,7.8657
2012-05-20,7.864
2012-06-20,9.2088
2012-07-20,9.2089
2012-08-20,9.1978
2012-09-20,8.871
2012-10-20,8.871
2012-11-20,8.8581
2012-12-20,8.8845
2013-01-20,8.8845
2013-02-20,9.53
2013-03-20,9.5312
2013-04-20,9.5295
2013-05-20,9.0587
2013-06-20,9.0588
2013-07-20,9.537
2013-08-20,9.5311
2013-09-20,9.4854
2013-10-20,9.6614
2013-11-20,9.6422
2013-12-20,9.6526
2014-01-20,9.6526
2014-02-20,10.7802
2014-03-20,10.7839
2014-04-20,10.7787
2014-05-20,11.7296
2014-06-20,11.7765
2014-07-20,11.8714
2014-08-20,11.381
2014-09-20,11.381
2014-10-20,11.381
2014-11-20,11.7279
2014-12-20,11.7277
2015-01-20,11.7277
2015-02-20,11.7115
2015-03-20,11.7944
2015-04-20,11.7863
2015-05-20,11.6819
2015-06-20,11.7004
2015-07-20,11.7004
2015-08-20,11.5035
2015-09-20,11.5035
2015-10-20,11.5035
2015-11-20,11.7152
2015-12-20,11.715
2016-01-20,11.715
2016-02-20,11.0319
2016-03-20,11.0335
2016-04-20,12.4703
2016-05-20,12.4743
2016-06-20,12.0136
2016-07-20,12.0634
2016-08-20,12.0412
2016-09-20,11.8105
2016-10-20,11.8716
2016-11-20,11.8616
2016-12-20,13.0439
2017-01-20,13.1395
2017-02-20,13.1432
2017-03-20,12.6941
2017-04-20,12.722
2017-05-20,12.7166
2017-06-20,13.5825
2017-07-20,13.6161
2017-08-20,13.6026
2017-09-20,13.4041
2017-10-20,13.4047
2017-11-20,13.402
2017-12-20,13.5724
2018-01-20,13.704
2018-02-20,13.6906
2018-03-20,13.6919
2018-04-20,14.2105
2018-05-20,14.1773
2018-06-20,14.0439
2018-07-20,14.0649
2018-08-20,14.0597
2018-09-20,14.4967
2018-10-20,14.5334
2018-11-20,14.5255
2018-12-20,14.5396
2019-01-20,15.0879
2019-02-20,14.8165
2019-03-20,15.348
2019-04-20,12.9114
2019-05-20,12.89
2019-06-20,14.951
2019-07-20,15.0053
2019-08-20,15.012
2019-09-20,15.0283
2019-10-20,15.0826
2019-11-20,15.091
2019-12-20,15.0896
2020-01-20,15.1614
2020-02-20,15.1533
2020-03-20,15.1533
2020-04-20,15.8101
2020-05-20,15.8002
2020-06-20,15.8002
2020-07-20,14.3235
2020-08-20,14.2453
2020-09-20,14.2453
2020-10-20,19.0902
2020-11-20,19.0752
2020-12-20,19.0752
2021-01-20,20.7197
2021-02-20,20.725
2021-03-20,20.725
2021-04-20,21.7064
2021-05-20,21.6938
2021-06-20,21.6938
2021-07-20,20.8419
2021-08-20,20.8493
2021-09-20,20.8493
2021-10-20,20.8982
2021-11-20,20.8862
2021-12-20,20.8862
2022-01-20,20.0717
2022-02-20,20.07
2022-03-20,20.0846
2022-04-20,20.95
2022-05-20,20.9272
2022-06-20,18.7867
2022-07-20,18.7978
2022-08-20,18.7977
2022-09-20,18.7977
2022-10-20,14.7405
2022-11-20,14.7392
2022-12-20,14.7396
2023-01-20,14.4605
2023-02-20,14.4568
2023-03-20,15.0171
2023-04-20,15.012
2023-05-20,15.0011
2023-06-20,18.5109
2023-07-20,18.5294
2023-08-20,18.529
2023-09-20,20.4935
2023-10-20,20.5085
2023-11-20,20.4902
2023-12-20,17.9324
2024-01-20,17.9995
2024-02-20,17.992
2024-03-20,17.9927
2024-04-20,19.4872
2024-05-20,19.4754
2024-06-20,20.9931
2024-07-20,21.1036
2024-08-20,21.102
2024-09-20,21.1044
2024-10-20,22.3269
2024-11-20,22.3319
2024-12-20,22.3319
