date,ebitda_margin
2013-04-16,22.8919
2013-05-16,22.6777
2013-06-16,22.6777
2013-07-16,22.6777
2013-08-16,21.5841
2013-09-16,20.9004
2013-10-16,21.558
2013-11-16,21.9353
2013-12-16,21.935
2014-01-16,21.9349
2014-02-16,21.4612
2014-03-16,21.5124
2014-04-16,21.0336
2014-05-16,21.3557
2014-06-16,21.3557
2014-07-16,21.3557
2014-08-16,21.3526
2014-09-16,21.6264
2014-10-16,21.8943
2014-11-16,22.2498
2014-12-16,22.2498
2015-01-16,22.2498
2015-02-16,20.7197
2015-03-16,22.1541
2015-04-16,23.8208
2015-05-16,24.4113
2015-06-16,24.4168
2015-07-16,25.1444
2015-08-16,22.53
2015-09-16,23.2309
2015-10-16,23.903
2015-11-16,23.6646
2015-12-16,23.7114
2016-01-16,23.7114
2016-02-16,20.941
2016-03-16,21.0823
2016-04-16,23.1481
2016-05-16,23.0636
2016-06-16,23.0205
2016-07-16,23.2945
2016-08-16,21.6647
2016-09-16,21.6534
2016-10-16,22.1603
2016-11-16,21.7976
2016-12-16,21.8556
2017-01-16,21.8556
2017-02-16,22.0718
2017-03-16,21.0352
2017-04-16,23.4167
2017-05-16,23.3792
2017-06-16,23.3543
2017-07-16,23.6587
2017-08-16,23.8558
2017-09-16,24.2925
2017-10-16,24.7354
2017-11-16,24.7732
2017-12-16,25.0246
2018-01-16,25.0246
2018-02-16,23.3716
2018-03-16,23.6404
2018-04-16,24.5513
2018-05-16,24.7261
2018-06-16,24.7258
2018-07-16,25.6034
2018-08-16,24.6502
2018-09-16,26.4192
2018-10-16,27.2937
2018-11-16,27.2805
2018-12-16,27.5561
2019-01-16,27.5561
2019-02-16,25.4871
2019-03-16,25.6856
2019-04-16,25.7601
2019-05-16,25.7826
2019-06-16,25.7825
2019-07-16,26.2569
2019-08-16,24.6794
2019-09-16,24.9419
2019-10-16,25.2897
2019-11-16,25.2953
2019-12-16,25.3466
2020-01-16,25.3466
2020-02-16,23.7505
2020-03-16,23.6107
2020-04-16,24.1007
2020-05-16,24.1774
2020-06-16,24.1767
2020-07-16,22.8645
2020-08-16,22.7517
2020-09-16,21.7724
2020-10-16,21.7279
2020-11-16,21.7424
2020-12-16,21.3573
2021-01-16,21.3573
2021-02-16,17.9068
2021-03-16,17.5691
2021-04-16,18.1324
2021-05-16,18.3565
2021-06-16,18.3559
2021-07-16,17.9881
2021-08-16,19.7551
2021-09-16,18.017
2021-10-16,17.996
2021-11-16,18.0078
2021-12-16,18.0913
2022-01-16,18.1301
2022-02-16,17.1002
2022-03-16,17.0167
2022-04-16,16.9345
2022-05-16,16.9024
2022-06-16,16.9039
2022-07-16,16.9746
2022-08-16,17.5222
2022-09-16,17.1198
2022-10-16,16.9176
2022-11-16,16.8388
2022-12-16,16.9078
2023-01-16,16.9078
2023-02-16,16.8424
2023-03-16,16.6179
2023-04-16,16.952
2023-05-16,17.1158
2023-06-16,15.3989
2023-07-16,15.4095
2023-08-16,15.5671
2023-09-16,17.1487
2023-10-16,16.8634
2023-11-16,16.9418
2023-12-16,15.7009
2024-01-16,15.6783
2024-02-16,15.6225
2024-03-16,15.6713
2024-04-16,15.95
2024-05-16,16.2839
2024-06-16,16.1354
2024-07-16,16.6395
2024-08-16,16.5976
2024-09-16,17.1194
2024-10-16,17.0312
2024-11-16,17.0609
2024-12-16,16.8186
2025-01-16,16.7983
2025-02-16,16.7664
2025-03-16,16.6657
2025-04-16,16.7591
2025-05-16,16.759
2025-06-16,17.0295
2025-07-16,17.0782
2025-08-16,17.0922
2025-09-16,17.2503
2025-10-16,17.3338
2025-11-16,17.3374
2025-12-16,15.8031
2026-01-16,15.8017
2026-02-16,15.6675
2026-03-16,15.66
2026-04-16,15.7853
