date,ev_ebitda
2004-05-20,4.7562
2004-06-20,4.7674
2004-07-20,4.7697
2004-08-20,4.9262
2004-09-20,4.9262
2004-10-20,4.9262
2004-11-20,4.9262
2004-12-20,4.9262
2005-01-20,4.9262
2005-02-20,4.9262
2005-03-20,4.9262
2005-04-20,4.9262
2005-05-20,4.5848
2005-06-20,4.4065
2005-07-20,4.4248
2005-08-20,4.6546
2005-09-20,4.6748
2005-10-20,4.6748
2005-11-20,4.6748
2005-12-20,4.6748
2006-01-20,4.6748
2006-02-20,4.6748
2006-03-20,4.6748
2006-04-20,4.6748
2006-05-20,5.6977
2006-06-20,5.7367
2006-07-20,5.7725
2006-08-20,5.5849
2006-09-20,5.5849
2006-10-20,5.5849
2006-11-20,5.5849
2006-12-20,5.5849
2007-01-20,5.5849
2007-02-20,5.5849
2007-03-20,5.5849
2007-04-20,5.5849
2007-05-20,6.7941
2007-06-20,6.7938
2007-07-20,6.8191
2007-08-20,7.4758
2007-09-20,7.9473
2007-10-20,7.9324
2007-11-20,8.0468
2007-12-20,8.0468
2008-01-20,8.0468
2008-02-20,8.8677
2008-03-20,9.1977
2008-04-20,6.8688
2008-05-20,7.1177
2008-06-20,7.1177
2008-07-20,7.2157
2008-08-20,8.2199
2008-09-20,8.2303
2008-10-20,8.0556
2008-11-20,8.0046
2008-12-20,8.0064
2009-01-20,8.0064
2009-02-20,7.3623
2009-03-20,7.3623
2009-04-20,5.6756
2009-05-20,5.8613
2009-06-20,5.8613
2009-07-20,5.9259
2009-08-20,9.3888
2009-09-20,9.4291
2009-10-20,9.4068
2009-11-20,9.8886
2009-12-20,10.0664
2010-01-20,10.0812
2010-02-20,10.8021
2010-03-20,9.5401
2010-04-20,6.5041
2010-05-20,6.4972
2010-06-20,6.5297
2010-07-20,6.5506
2010-08-20,8.5579
2010-09-20,7.7682
2010-10-20,7.7564
2010-11-20,7.7118
2010-12-20,7.5497
2011-01-20,7.5726
2011-02-20,7.4921
2011-03-20,7.4639
2011-04-20,6.6493
2011-05-20,6.6788
2011-06-20,8.1748
2011-07-20,8.1602
2011-08-20,8.1235
2011-09-20,7.8545
2011-10-20,7.8588
2011-11-20,7.7833
2011-12-20,7.3055
2012-01-20,7.3101
2012-02-20,7.2418
2012-03-20,6.2737
2012-04-20,6.783
2012-05-20,6.7447
2012-06-20,7.2692
2012-07-20,7.3156
2012-08-20,7.2693
2012-09-20,7.0758
2012-10-20,7.0758
2012-11-20,7.0241
2012-12-20,7.2044
2013-01-20,7.2036
2013-02-20,7.1528
2013-03-20,6.4431
2013-04-20,7.0448
2013-05-20,6.9942
2013-06-20,7.1602
2013-07-20,7.2065
2013-08-20,7.153
2013-09-20,6.6763
2013-10-20,6.6763
2013-11-20,6.6684
2013-12-20,6.9088
2014-01-20,6.9088
2014-02-20,6.929
2014-03-20,6.5779
2014-04-20,6.978
2014-05-20,6.9978
2014-06-20,7.1443
2014-07-20,7.1443
2014-08-20,7.1441
2014-09-20,7.2282
2014-10-20,7.2282
2014-11-20,7.2262
2014-12-20,7.5636
2015-01-20,7.5771
2015-02-20,7.5799
2015-03-20,6.9768
2015-04-20,7.0713
2015-05-20,7.0713
2015-06-20,7.42
2015-07-20,7.4238
2015-08-20,7.4317
2015-09-20,7.0027
2015-10-20,7.0027
2015-11-20,7.3751
2015-12-20,6.7427
2016-01-20,6.7427
2016-02-20,7.1233
2016-03-20,6.3926
2016-04-20,7.1141
2016-05-20,7.1141
2016-06-20,6.5948
2016-07-20,6.5948
2016-08-20,6.5071
2016-09-20,6.4252
2016-10-20,6.4252
2016-11-20,6.8082
2016-12-20,6.5121
2017-01-20,6.5121
2017-02-20,6.9012
2017-03-20,6.6031
2017-04-20,6.857
2017-05-20,6.857
2017-06-20,6.9138
2017-07-20,6.9138
2017-08-20,6.9138
2017-09-20,7.2575
2017-10-20,7.2575
2017-11-20,7.2575
2017-12-20,6.8975
2018-01-20,6.8975
2018-02-20,6.8975
2018-03-20,6.0853
2018-04-20,6.6582
2018-05-20,6.6639
2018-06-20,6.5848
2018-07-20,6.5848
2018-08-20,6.5859
2018-09-20,6.2894
2018-10-20,6.2894
2018-11-20,6.2894
2018-12-20,6.0493
2019-01-20,6.0431
2019-02-20,6.0431
2019-03-20,5.6493
2019-04-20,5.5533
2019-05-20,5.5538
2019-06-20,6.1954
2019-07-20,6.1954
2019-08-20,6.1954
2019-09-20,6.6046
2019-10-20,6.6046
2019-11-20,6.6275
2019-12-20,7.0342
2020-01-20,7.0342
2020-02-20,7.059
2020-03-20,8.041
2020-04-20,7.4834
2020-05-20,7.4924
2020-06-20,6.8196
2020-07-20,6.8187
2020-08-20,6.8329
2020-09-20,7.6603
2020-10-20,7.6603
2020-11-20,7.668
2020-12-20,7.9531
2021-01-20,7.9531
2021-02-20,7.9812
2021-03-20,9.384
2021-04-20,9.1248
2021-05-20,9.1248
2021-06-20,8.5264
2021-07-20,8.5696
2021-08-20,8.5785
2021-09-20,8.4932
2021-10-20,8.4932
2021-11-20,8.5028
2021-12-20,7.5471
2022-01-20,7.5471
2022-02-20,7.5471
2022-03-20,7.1266
2022-04-20,7.3823
2022-05-20,7.3823
2022-06-20,6.6878
2022-07-20,6.6868
2022-08-20,6.6898
2022-09-20,5.9323
2022-10-20,5.9323
2022-11-20,5.9344
2022-12-20,6.034
2023-01-20,6.034
2023-02-20,6.0359
2023-03-20,6.2793
2023-04-20,6.3338
2023-05-20,6.3338
2023-06-20,7.2921
2023-07-20,7.2921
2023-08-20,7.2913
2023-09-20,8.0583
2023-10-20,8.0583
2023-11-20,8.0622
2023-12-20,7.8659
2024-01-20,7.8659
2024-02-20,7.8659
2024-03-20,8.6281
2024-04-20,7.8658
2024-05-20,7.8658
2024-06-20,7.6537
2024-07-20,7.6593
2024-08-20,7.6593
2024-09-20,7.3244
2024-10-20,7.3244
2024-11-20,7.3244
2024-12-20,6.4611
2025-01-20,6.4611
2025-02-20,6.4611
2025-03-20,5.745
2025-04-20,6.0039
2025-05-20,6.0039
2025-06-20,6.0998
2025-07-20,6.1008
2025-08-20,6.1008
2025-09-20,6.8787
2025-10-20,6.8787
2025-11-20,6.8787
2025-12-20,7.2619
2026-01-20,7.2619
2026-02-20,7.2619
2026-03-20,8.8134
