date,ev_ebit
2004-05-16,9.6425
2004-06-16,9.6645
2004-07-16,9.6751
2004-08-16,10.0637
2004-09-16,10.0637
2004-10-16,10.0637
2004-11-16,10.0637
2004-12-16,10.0637
2005-01-16,10.0637
2005-02-16,10.0637
2005-03-16,10.0637
2005-04-16,10.0637
2005-05-16,8.2511
2005-06-16,7.8755
2005-07-16,7.9121
2005-08-16,8.3808
2005-09-16,8.4248
2005-10-16,8.4248
2005-11-16,8.4248
2005-12-16,8.4248
2006-01-16,8.4248
2006-02-16,8.4248
2006-03-16,8.4248
2006-04-16,8.4248
2006-05-16,10.9397
2006-06-16,10.8882
2006-07-16,10.9466
2006-08-16,10.6725
2006-09-16,10.6725
2006-10-16,10.6725
2006-11-16,10.6725
2006-12-16,10.6725
2007-01-16,10.6725
2007-02-16,10.6725
2007-03-16,10.6725
2007-04-16,10.6725
2007-05-16,13.5218
2007-06-16,13.5195
2007-07-16,13.5617
2007-08-16,14.9477
2007-09-16,14.8442
2007-10-16,14.8164
2007-11-16,14.7666
2007-12-16,14.7666
2008-01-16,14.7666
2008-02-16,15.8293
2008-03-16,15.8293
2008-04-16,12.9605
2008-05-16,13.771
2008-06-16,13.771
2008-07-16,14.0156
2008-08-16,14.3866
2008-09-16,14.4744
2008-10-16,14.4291
2008-11-16,14.252
2008-12-16,14.28
2009-01-16,14.2922
2009-02-16,13.523
2009-03-16,13.6388
2009-04-16,13.1346
2009-05-16,13.6171
2009-06-16,13.6171
2009-07-16,13.7116
2009-08-16,17.1423
2009-09-16,17.4889
2009-10-16,17.5063
2009-11-16,21.1582
2009-12-16,21.4035
2010-01-16,21.4703
2010-02-16,19.4248
2010-03-16,20.0453
2010-04-16,14.7498
2010-05-16,14.4082
2010-06-16,14.4592
2010-07-16,14.5453
2010-08-16,13.728
2010-09-16,12.2574
2010-10-16,12.2574
2010-11-16,12.2816
2010-12-16,12.1571
2011-01-16,12.1898
2011-02-16,12.3302
2011-03-16,12.4555
2011-04-16,12.48
2011-05-16,12.4792
2011-06-16,12.854
2011-07-16,12.8319
2011-08-16,12.8019
2011-09-16,12.7654
2011-10-16,12.7657
2011-11-16,12.6916
2011-12-16,11.7719
2012-01-16,11.7761
2012-02-16,11.7021
2012-03-16,9.665
2012-04-16,12.9347
2012-05-16,12.8938
2012-06-16,14.1073
2012-07-16,14.1414
2012-08-16,14.1261
2012-09-16,14.2361
2012-10-16,14.2364
2012-11-16,14.1989
2012-12-16,14.503
2013-01-16,14.4957
2013-02-16,14.4431
2013-03-16,11.9554
2013-04-16,14.2502
2013-05-16,14.2174
2013-06-16,14.8453
2013-07-16,14.8786
2013-08-16,14.8041
2013-09-16,13.5793
2013-10-16,13.5758
2013-11-16,13.5639
2013-12-16,13.9293
2014-01-16,13.9271
2014-02-16,13.9864
2014-03-16,11.8454
2014-04-16,14.1829
2014-05-16,14.1602
2014-06-16,14.1877
2014-07-16,14.1877
2014-08-16,14.1823
2014-09-16,14.8426
2014-10-16,14.8426
2014-11-16,14.8573
2014-12-16,15.9352
2015-01-16,15.9596
2015-02-16,15.9674
2015-03-16,12.4436
2015-04-16,14.9526
2015-05-16,14.9526
2015-06-16,15.42
2015-07-16,15.4286
2015-08-16,15.4461
2015-09-16,14.0815
2015-10-16,14.0815
2015-11-16,15.3052
2015-12-16,14.5873
2016-01-16,14.5873
2016-02-16,14.5873
2016-03-16,10.9889
2016-04-16,14.4941
2016-05-16,14.5057
2016-06-16,14.0272
2016-07-16,14.0272
2016-08-16,11.7973
2016-09-16,13.1816
2016-10-16,13.1816
2016-11-16,13.1816
2016-12-16,13.0283
2017-01-16,13.0283
2017-02-16,13.0283
2017-03-16,10.8904
2017-04-16,12.9575
2017-05-16,12.9575
2017-06-16,12.3768
2017-07-16,12.3768
2017-08-16,12.3768
2017-09-16,12.6585
2017-10-16,12.6585
2017-11-16,12.6585
2017-12-16,11.7338
2018-01-16,11.7338
2018-02-16,11.7338
2018-03-16,9.6859
2018-04-16,11.0315
2018-05-16,11.035
2018-06-16,10.8913
2018-07-16,10.8913
2018-08-16,10.8881
2018-09-16,10.3786
2018-10-16,10.3786
2018-11-16,10.3786
2018-12-16,10.0076
2019-01-16,9.9973
2019-02-16,9.9901
2019-03-16,8.573
2019-04-16,9.5126
2019-05-16,9.5131
2019-06-16,10.7746
2019-07-16,10.7746
2019-08-16,10.7746
2019-09-16,12.2687
2019-10-16,12.2687
2019-11-16,12.2687
2019-12-16,14.3196
2020-01-16,14.3196
2020-02-16,14.3196
2020-03-16,15.8723
2020-04-16,17.0269
2020-05-16,16.9817
2020-06-16,16.1466
2020-07-16,16.1991
2020-08-16,16.1991
2020-09-16,18.7208
2020-10-16,18.7208
2020-11-16,18.7208
2020-12-16,18.0898
2021-01-16,18.0898
2021-02-16,18.0898
2021-03-16,18.7899
2021-04-16,19.7732
2021-05-16,19.7732
2021-06-16,16.7716
2021-07-16,16.7525
2021-08-16,16.7829
2021-09-16,15.6031
2021-10-16,15.6031
2021-11-16,15.6296
2021-12-16,13.4077
2022-01-16,13.4077
2022-02-16,13.4077
2022-03-16,11.8805
2022-04-16,12.8259
2022-05-16,12.8259
2022-06-16,11.6948
2022-07-16,11.694
2022-08-16,11.699
2022-09-16,10.4383
2022-10-16,10.4383
2022-11-16,10.4417
2022-12-16,11.1981
2023-01-16,11.1981
2023-02-16,11.201
2023-03-16,11.8432
2023-04-16,12.892
2023-05-16,12.892
2023-06-16,16.6058
2023-07-16,16.6058
2023-08-16,16.6096
2023-09-16,21.346
2023-10-16,21.346
2023-11-16,21.4292
2023-12-16,21.7255
2024-01-16,21.7255
2024-02-16,21.7255
2024-03-16,14.3703
2024-04-16,21.1178
2024-05-16,21.1178
2024-06-16,19.1709
2024-07-16,19.171
2024-08-16,19.171
2024-09-16,16.7331
2024-10-16,16.7331
2024-11-16,16.7331
2024-12-16,14.1653
2025-01-16,14.1653
2025-02-16,14.1653
2025-03-16,12.2713
2025-04-16,12.9709
2025-05-16,12.9709
2025-06-16,12.919
2025-07-16,12.9194
2025-08-16,12.9194
2025-09-16,14.5562
2025-10-16,14.5562
2025-11-16,14.5562
2025-12-16,14.9501
2026-01-16,14.9501
2026-02-16,14.9501
2026-03-16,14.9795
2026-04-16,15.3888
