date,roa
2004-01-20,0.4703
2004-02-20,0.4712
2004-03-20,0.483
2004-04-20,0.4875
2004-05-20,0.488
2004-06-20,0.8357
2004-07-20,0.9143
2004-08-20,0.9294
2004-09-20,0.9222
2004-10-20,0.9224
2004-11-20,1.1477
2004-12-20,1.0938
2005-01-20,1.1145
2005-02-20,1.1146
2005-03-20,1.0983
2005-04-20,1.1015
2005-05-20,1.2139
2005-06-20,1.1548
2005-07-20,1.1368
2005-08-20,1.1141
2005-09-20,1.3327
2005-10-20,1.3341
2005-11-20,1.299
2005-12-20,1.3041
2006-01-20,1.3079
2006-02-20,1.304
2006-03-20,1.3794
2006-04-20,1.3833
2006-05-20,1.3862
2006-06-20,1.4141
2006-07-20,1.5016
2006-08-20,1.5052
2006-09-20,1.6053
2006-10-20,1.6016
2006-11-20,1.6047
2006-12-20,1.5714
2007-01-20,1.572
2007-02-20,1.5742
2007-03-20,1.5025
2007-04-20,1.5068
2007-05-20,1.5208
2007-06-20,1.4215
2007-07-20,1.4172
2007-08-20,1.4128
2007-09-20,1.4499
2007-10-20,1.4527
2007-11-20,1.4467
2007-12-20,1.4782
2008-01-20,1.474
2008-02-20,1.4748
2008-03-20,1.4802
2008-04-20,1.4801
2008-05-20,1.4786
2008-06-20,1.3963
2008-07-20,1.3969
2008-08-20,1.4013
2008-09-20,1.3094
2008-10-20,1.3055
2008-11-20,1.3014
2008-12-20,1.1665
2009-01-20,1.1647
2009-02-20,1.1629
2009-03-20,0.5871
2009-04-20,0.5741
2009-05-20,0.5621
2009-06-20,-0.1999
2009-07-20,-0.2038
2009-08-20,-0.2032
2009-09-20,-0.4107
2009-10-20,-0.4125
2009-11-20,-0.4373
2009-12-20,-0.538
2010-01-20,-0.5411
2010-02-20,-0.5369
2010-03-20,-0.0611
2010-04-20,-0.0649
2010-05-20,-0.0686
2010-06-20,0.5595
2010-07-20,0.5543
2010-08-20,0.5566
2010-09-20,0.7717
2010-10-20,0.7724
2010-11-20,0.7738
2010-12-20,0.9569
2011-01-20,0.9552
2011-02-20,0.9553
2011-03-20,1.0291
2011-04-20,1.0306
2011-05-20,1.0284
2011-06-20,0.877
2011-07-20,0.872
2011-08-20,0.8732
2011-09-20,0.7744
2011-10-20,0.7744
2011-11-20,0.7756
2011-12-20,0.6984
2012-01-20,0.6966
2012-02-20,0.6971
2012-03-20,0.4705
2012-04-20,0.471
2012-05-20,0.4743
2012-06-20,0.656
2012-07-20,0.6576
2012-08-20,0.6589
2012-09-20,0.624
2012-10-20,0.6232
2012-11-20,0.624
2012-12-20,0.5757
2013-01-20,0.5764
2013-02-20,0.5762
2013-03-20,0.8062
2013-04-20,0.8087
2013-05-20,0.8081
2013-06-20,0.7994
2013-07-20,0.8137
2013-08-20,0.8145
2013-09-20,1.0124
2013-10-20,1.0124
2013-11-20,1.0126
2013-12-20,1.1904
2014-01-20,1.1911
2014-02-20,1.1912
2014-03-20,1.2381
2014-04-20,1.2418
2014-05-20,1.2418
2014-06-20,1.3027
2014-07-20,1.2935
2014-08-20,1.2936
2014-09-20,1.2556
2014-10-20,1.2559
2014-11-20,1.2567
2014-12-20,1.2962
2015-01-20,1.2978
2015-02-20,1.2979
2015-03-20,1.2479
2015-04-20,1.2499
2015-05-20,1.2506
2015-06-20,1.2309
2015-07-20,1.2283
2015-08-20,1.2229
2015-09-20,1.3418
2015-10-20,1.3339
2015-11-20,1.3315
2015-12-20,1.3052
2016-01-20,1.3065
2016-02-20,1.3066
2016-03-20,1.2128
2016-04-20,1.2162
2016-05-20,1.2199
2016-06-20,1.1469
2016-07-20,1.1422
2016-08-20,1.1434
2016-09-20,1.055
2016-10-20,1.0549
2016-11-20,1.0619
2016-12-20,1.0838
2017-01-20,1.0855
2017-02-20,1.0856
2017-03-20,1.1302
2017-04-20,1.1042
2017-05-20,1.1244
2017-06-20,1.2507
2017-07-20,1.2505
