date,ev_ebit
2013-04-16,9.0922
2013-05-16,9.0647
2013-06-16,9.0647
2013-07-16,9.0647
2013-08-16,8.1182
2013-09-16,7.5925
2013-10-16,7.4109
2013-11-16,7.4676
2013-12-16,7.4676
2014-01-16,7.4676
2014-02-16,8.2614
2014-03-16,8.2069
2014-04-16,7.7185
2014-05-16,7.6654
2014-06-16,7.6654
2014-07-16,7.6654
2014-08-16,7.4791
2014-09-16,7.4288
2014-10-16,7.3642
2014-11-16,7.3939
2014-12-16,7.3939
2015-01-16,7.3939
2015-02-16,7.255
2015-03-16,6.8943
2015-04-16,7.5317
2015-05-16,7.645
2015-06-16,7.6436
2015-07-16,7.4855
2015-08-16,7.9585
2015-09-16,9.3556
2015-10-16,9.1526
2015-11-16,9.3248
2015-12-16,9.3119
2016-01-16,9.3119
2016-02-16,7.327
2016-03-16,7.3044
2016-04-16,8.6655
2016-05-16,8.8493
2016-06-16,8.8577
2016-07-16,8.7814
2016-08-16,8.0867
2016-09-16,8.7792
2016-10-16,8.544
2016-11-16,8.8342
2016-12-16,8.8167
2017-01-16,8.8167
2017-02-16,9.6922
2017-03-16,9.6578
2017-04-16,9.0017
2017-05-16,9.1564
2017-06-16,9.164
2017-07-16,9.0762
2017-08-16,9.4834
2017-09-16,9.722
2017-10-16,9.6496
2017-11-16,9.714
2017-12-16,9.6418
2018-01-16,9.6418
2018-02-16,9.7146
2018-03-16,9.4706
2018-04-16,9.482
2018-05-16,9.514
2018-06-16,9.5141
2018-07-16,9.2845
2018-08-16,8.3975
2018-09-16,8.5973
2018-10-16,8.4652
2018-11-16,8.4657
2018-12-16,8.4041
2019-01-16,8.4041
2019-02-16,8.3083
2019-03-16,8.2507
2019-04-16,8.2878
2019-05-16,8.3483
2019-06-16,8.3483
2019-07-16,8.2384
2019-08-16,8.7794
2019-09-16,9.0653
2019-10-16,9.1783
2019-11-16,9.1796
2019-12-16,9.1664
2020-01-16,9.1664
2020-02-16,8.4792
2020-03-16,8.5708
2020-04-16,9.349
2020-05-16,9.3928
2020-06-16,9.3935
2020-07-16,8.4109
2020-08-16,8.4305
2020-09-16,9.0161
2020-10-16,8.8562
2020-11-16,8.8577
2020-12-16,8.9739
2021-01-16,8.9739
2021-02-16,8.6292
2021-03-16,8.6531
2021-04-16,10.1846
2021-05-16,10.2446
2021-06-16,10.2449
2021-07-16,10.3866
2021-08-16,9.5271
2021-09-16,9.8661
2021-10-16,10.0938
2021-11-16,10.0957
2021-12-16,10.0831
2022-01-16,10.0683
2022-02-16,8.869
2022-03-16,8.8481
2022-04-16,9.0898
2022-05-16,9.0988
2022-06-16,9.0982
2022-07-16,9.1074
2022-08-16,8.6867
2022-09-16,9.5033
2022-10-16,9.5006
2022-11-16,9.5249
2022-12-16,9.4837
2023-01-16,9.4837
2023-02-16,7.563
2023-03-16,7.6261
2023-04-16,8.879
2023-05-16,8.8016
2023-06-16,8.2449
2023-07-16,8.2529
2023-08-16,8.2747
2023-09-16,8.1853
2023-10-16,8.2823
2023-11-16,8.2902
2023-12-16,7.6893
2024-01-16,7.6952
2024-02-16,7.7071
2024-03-16,7.7186
2024-04-16,7.5932
2024-05-16,8.0534
2024-06-16,8.0568
2024-07-16,8.2789
2024-08-16,8.2758
2024-09-16,9.0993
2024-10-16,9.2517
2024-11-16,9.2435
2024-12-16,10.4903
2025-01-16,10.4921
2025-02-16,10.5144
2025-03-16,10.5241
2025-04-16,9.377
2025-05-16,9.2515
2025-06-16,11.1373
2025-07-16,11.1442
2025-08-16,11.1666
2025-09-16,11.3022
2025-10-16,11.32
2025-11-16,11.4167
2025-12-16,13.8787
2026-01-16,13.8898
2026-02-16,14.0365
2026-03-16,14.0434
2026-04-16,12.9848
