date,profit_margin
2004-05-16,3.4676
2004-06-16,3.6462
2004-07-16,3.6235
2004-08-16,3.619
2004-09-16,3.6185
2004-10-16,3.619
2004-11-16,3.619
2004-12-16,3.619
2005-01-16,3.619
2005-02-16,3.619
2005-03-16,3.619
2005-04-16,3.619
2005-05-16,6.8227
2005-06-16,5.9076
2005-07-16,5.9155
2005-08-16,5.8663
2005-09-16,5.855
2005-10-16,5.852
2005-11-16,5.852
2005-12-16,5.852
2006-01-16,5.852
2006-02-16,5.852
2006-03-16,5.852
2006-04-16,5.852
2006-05-16,5.2085
2006-06-16,5.3252
2006-07-16,5.3459
2006-08-16,5.3417
2006-09-16,5.3506
2006-10-16,5.3506
2006-11-16,5.3506
2006-12-16,5.3506
2007-01-16,5.3506
2007-02-16,5.3506
2007-03-16,5.3506
2007-04-16,5.3506
2007-05-16,4.7891
2007-06-16,4.7761
2007-07-16,4.7919
2007-08-16,5.3774
2007-09-16,5.384
2007-10-16,5.37
2007-11-16,5.37
2007-12-16,5.37
2008-01-16,8.5048
2008-02-16,3.44
2008-03-16,3.478
2008-04-16,5.2018
2008-05-16,4.8543
2008-06-16,4.6173
2008-07-16,4.6808
2008-08-16,6.53
2008-09-16,6.7123
2008-10-16,6.7802
2008-11-16,7.1073
2008-12-16,7.165
2009-01-16,7.1252
2009-02-16,6.5408
2009-03-16,6.6015
2009-04-16,2.6108
2009-05-16,1.9845
2009-06-16,1.9874
2009-07-16,1.9824
2009-08-16,3.6692
2009-09-16,3.759
2009-10-16,3.7841
2009-11-16,3.1222
2009-12-16,3.1313
2010-01-16,3.0877
2010-02-16,3.2833
2010-03-16,3.14
2010-04-16,3.0471
2010-05-16,2.9333
2010-06-16,2.9518
2010-07-16,2.9913
2010-08-16,5.7731
2010-09-16,6.9148
2010-10-16,6.88
2010-11-16,6.8577
2010-12-16,6.9362
2011-01-16,7.1456
2011-02-16,6.7326
2011-03-16,6.3238
2011-04-16,4.6868
2011-05-16,4.5945
2011-06-16,5.4693
2011-07-16,5.4094
2011-08-16,5.4017
2011-09-16,5.5365
2011-10-16,5.4684
2011-11-16,5.4658
2011-12-16,5.2816
2012-01-16,5.2139
2012-02-16,5.2042
2012-03-16,5.3985
2012-04-16,4.4196
2012-05-16,4.5353
2012-06-16,4.5824
2012-07-16,4.5689
2012-08-16,4.6921
2012-09-16,3.9299
2012-10-16,3.884
2012-11-16,3.885
2012-12-16,4.469
2013-01-16,4.4578
2013-02-16,4.4364
2013-03-16,4.6867
2013-04-16,3.9838
2013-05-16,4.0706
2013-06-16,3.6553
2013-07-16,3.632
2013-08-16,3.7652
2013-09-16,3.582
2013-10-16,3.5813
2013-11-16,3.7366
2013-12-16,3.4528
2014-01-16,3.4516
2014-02-16,3.4914
2014-03-16,3.9659
2014-04-16,3.2737
2014-05-16,3.2837
2014-06-16,3.5004
2014-07-16,3.4883
2014-08-16,3.4936
2014-09-16,3.7228
2014-10-16,3.7224
2014-11-16,3.7259
2014-12-16,3.4738
2015-01-16,3.4236
2015-02-16,3.4197
2015-03-16,4.1955
2015-04-16,3.5787
2015-05-16,3.5753
2015-06-16,3.7186
2015-07-16,3.7168
2015-08-16,3.7391
2015-09-16,3.7359
2015-10-16,3.7351
2015-11-16,3.746
2015-12-16,4.6311
2016-01-16,4.6324
2016-02-16,4.616
2016-03-16,4.9407
2016-04-16,4.3891
2016-05-16,4.3921
2016-06-16,4.573
2016-07-16,4.5658
2016-08-16,4.5522
2016-09-16,4.7454
2016-10-16,4.7399
2016-11-16,4.7411
2016-12-16,4.2788
2017-01-16,4.2877
2017-02-16,4.2885
2017-03-16,5.6704
2017-04-16,4.5806
2017-05-16,4.5721
2017-06-16,4.974
2017-07-16,4.9656
2017-08-16,5.1494
2017-09-16,5.5114
2017-10-16,5.5078
2017-11-16,5.5402
2017-12-16,5.8325
2018-01-16,5.8313
2018-02-16,5.8372
2018-03-16,6.6763
2018-04-16,6.4625
2018-05-16,6.4431
2018-06-16,6.4047
2018-07-16,6.4021
2018-08-16,6.3912
2018-09-16,6.2259
2018-10-16,6.2224
2018-11-16,6.2918
2018-12-16,6.2735
2019-01-16,6.2735
2019-02-16,6.2712
2019-03-16,6.7776
2019-04-16,5.548
2019-05-16,5.5312
2019-06-16,5.1265
2019-07-16,5.3816
2019-08-16,5.3807
2019-09-16,4.7279
2019-10-16,4.7572
2019-11-16,4.7561
2019-12-16,3.9949
2020-01-16,4.0273
2020-02-16,4.0369
2020-03-16,3.4317
2020-04-16,2.9634
2020-05-16,2.9778
2020-06-16,2.5174
2020-07-16,2.5166
2020-08-16,2.5276
2020-09-16,2.4401
2020-10-16,2.439
2020-11-16,2.443
2020-12-16,2.9392
2021-01-16,2.9462
2021-02-16,2.9827
2021-03-16,4.0718
2021-04-16,3.655
2021-05-16,3.655
2021-06-16,5.2392
2021-07-16,5.2408
2021-08-16,5.3032
2021-09-16,6.0365
2021-10-16,6.0363
2021-11-16,6.0933
2021-12-16,6.6389
2022-01-16,6.6387
2022-02-16,6.6742
2022-03-16,7.3027
2022-04-16,6.9997
2022-05-16,6.9967
2022-06-16,6.2967
2022-07-16,6.299
2022-08-16,6.3277
2022-09-16,6.0945
2022-10-16,6.0784
2022-11-16,6.1087
2022-12-16,5.2041
2023-01-16,5.2009
2023-02-16,5.2297
2023-03-16,4.4418
2023-04-16,4.7508
2023-05-16,4.7413
2023-06-16,4.0401
2023-07-16,4.0428
2023-08-16,4.0578
2023-09-16,3.3218
2023-10-16,3.3265
2023-11-16,3.3338
2023-12-16,3.4766
2024-01-16,3.4787
2024-02-16,3.4629
2024-03-16,3.4773
2024-04-16,3.2625
2024-05-16,3.2706
2024-06-16,3.6246
2024-07-16,3.6304
2024-08-16,3.7207
2024-09-16,4.2729
2024-10-16,4.2777
2024-11-16,4.2887
2024-12-16,4.5783
2025-01-16,4.5775
2025-02-16,4.5878
2025-03-16,5.4436
2025-04-16,4.782
2025-05-16,4.8395
2025-06-16,5.1362
2025-07-16,5.1369
2025-08-16,5.1932
2025-09-16,5.0578
2025-10-16,5.0604
2025-11-16,5.1023
2025-12-16,5.5203
2026-01-16,5.5192
2026-02-16,5.5483
2026-03-16,6.7457
2026-04-16,6.0013
