date,pb
2004-01-16,3.9024
2004-02-16,3.933
2004-03-16,4.0766
2004-04-16,3.4528
2004-05-16,3.3649
2004-06-16,3.3189
2004-07-16,3.4014
2004-08-16,3.2933
2004-09-16,3.3031
2004-10-16,3.2769
2004-11-16,3.2816
2004-12-16,3.2258
2005-01-16,3.333
2005-02-16,3.3926
2005-03-16,3.5152
2005-04-16,3.1977
2005-05-16,3.0892
2005-06-16,3.0652
2005-07-16,3.0037
2005-08-16,3.0251
2005-09-16,3.0063
2005-10-16,3.0313
2005-11-16,3.1548
2005-12-16,3.1475
2006-01-16,3.1218
2006-02-16,2.8255
2006-03-16,3.0531
2006-04-16,3.104
2006-05-16,3.3005
2006-06-16,3.0868
2006-07-16,3.0807
2006-08-16,3.0893
2006-09-16,3.1424
2006-10-16,3.2246
2006-11-16,3.3249
2006-12-16,3.2808
2007-01-16,3.3456
2007-02-16,3.3882
2007-03-16,3.2835
2007-04-16,3.5455
2007-05-16,3.9139
2007-06-16,4.0286
2007-07-16,3.9638
2007-08-16,3.7793
2007-09-16,3.8505
2007-10-16,3.9958
2007-11-16,4.0056
2007-12-16,4.4654
2008-01-16,4.4297
2008-02-16,4.2245
2008-03-16,3.8397
2008-04-16,3.8386
2008-05-16,4.0131
2008-06-16,3.5667
2008-07-16,3.2031
2008-08-16,3.211
2008-09-16,3.4259
2008-10-16,3.2203
2008-11-16,2.7668
2008-12-16,2.8229
2009-01-16,2.806
2009-02-16,2.5581
2009-03-16,3.3374
2009-04-16,3.5954
2009-05-16,3.8596
2009-06-16,3.8663
2009-07-16,3.8421
2009-08-16,4.1717
2009-09-16,2.5929
2009-10-16,2.6518
2009-11-16,2.6132
2009-12-16,2.7267
2010-01-16,2.7486
2010-02-16,2.6536
2010-03-16,2.5082
2010-04-16,2.7316
2010-05-16,2.7523
2010-06-16,2.4821
2010-07-16,2.3934
2010-08-16,2.5079
2010-09-16,2.4413
2010-10-16,2.6298
2010-11-16,2.5687
2010-12-16,2.5556
2011-01-16,2.6882
2011-02-16,2.6179
2011-03-16,2.7979
2011-04-16,2.8197
2011-05-16,2.8415
2011-06-16,2.7621
2011-07-16,2.7279
2011-08-16,2.573
2011-09-16,2.4789
2011-10-16,2.3295
2011-11-16,2.5482
2011-12-16,2.5678
2012-01-16,2.6044
2012-02-16,2.7374
2012-03-16,2.8228
2012-04-16,2.8795
2012-05-16,2.7825
2012-06-16,2.5806
2012-07-16,2.6819
2012-08-16,2.8331
2012-09-16,2.7275
2012-10-16,2.7997
2012-11-16,2.7287
2012-12-16,2.5889
2013-01-16,2.6045
2013-02-16,2.7548
2013-03-16,2.788
2013-04-16,2.8919
2013-05-16,2.8947
2013-06-16,2.9402
2013-07-16,2.9001
2013-08-16,3.0148
2013-09-16,2.8761
2013-10-16,2.9381
2013-11-16,3.0189
2013-12-16,2.9959
2014-01-16,3.0684
2014-02-16,2.8998
2014-03-16,2.8878
2014-04-16,2.9119
2014-05-16,2.9337
2014-06-16,2.9653
2014-07-16,2.9847
2014-08-16,2.938
2014-09-16,2.9703
2014-10-16,2.9607
2014-11-16,3.2495
2014-12-16,3.1119
2015-01-16,3.111
2015-02-16,2.9962
2015-03-16,3.2499
2015-04-16,3.186
2015-05-16,3.1975
2015-06-16,3.1842
2015-07-16,3.115
2015-08-16,3.1275
2015-09-16,2.9121
2015-10-16,2.8692
2015-11-16,3.1121
2015-12-16,3.1456
2016-01-16,3.0933
2016-02-16,2.9231
2016-03-16,2.8938
2016-04-16,3.0986
2016-05-16,3.0894
2016-06-16,3.0968
2016-07-16,3.1216
2016-08-16,3.3261
2016-09-16,3.2173
2016-10-16,3.201
2016-11-16,3.2509
2016-12-16,3.2971
2017-01-16,3.4073
2017-02-16,3.6093
2017-03-16,3.8157
2017-04-16,3.6261
2017-05-16,3.6036
2017-06-16,3.6168
2017-07-16,3.6755
2017-08-16,3.8937
2017-09-16,3.7296
2017-10-16,3.8072
2017-11-16,4.0284
2017-12-16,3.8801
2018-01-16,3.9515
2018-02-16,4.1801
2018-03-16,4.0814
2018-04-16,3.9304
2018-05-16,3.8802
2018-06-16,3.9301
2018-07-16,3.9069
2018-08-16,4.3877
2018-09-16,4.1449
2018-10-16,4.2236
2018-11-16,4.0093
2018-12-16,4.0322
2019-01-16,3.6831
2019-02-16,3.9472
2019-03-16,4.0197
2019-04-16,4.0217
2019-05-16,4.0727
2019-06-16,3.7389
2019-07-16,4.0079
2019-08-16,4.0477
2019-09-16,4.029
2019-10-16,4.1074
2019-11-16,4.1271
