date,roce
2013-04-20,13.1163
2013-05-20,13.8831
2013-06-20,13.8831
2013-07-20,13.8831
2013-08-20,13.2717
2013-09-20,13.6621
2013-10-20,13.8655
2013-11-20,13.7809
2013-12-20,13.7809
2014-01-20,13.7809
2014-02-20,13.2944
2014-03-20,13.4697
2014-04-20,12.9594
2014-05-20,12.9711
2014-06-20,12.9711
2014-07-20,12.9711
2014-08-20,12.9896
2014-09-20,13.0929
2014-10-20,13.1328
2014-11-20,13.143
2014-12-20,13.143
2015-01-20,13.143
2015-02-20,12.9633
2015-03-20,13.3498
2015-04-20,13.0762
2015-05-20,12.9639
2015-06-20,13.0293
2015-07-20,13.2043
2015-08-20,12.2714
2015-09-20,13.3638
2015-10-20,13.9769
2015-11-20,12.849
2015-12-20,12.868
2016-01-20,12.868
2016-02-20,11.2441
2016-03-20,11.2141
2016-04-20,12.2734
2016-05-20,11.3088
2016-06-20,11.294
2016-07-20,11.3997
2016-08-20,10.4327
2016-09-20,9.5078
2016-10-20,9.9384
2016-11-20,9.6033
2016-12-20,9.6316
2017-01-20,9.6316
2017-02-20,9.3853
2017-03-20,9.384
2017-04-20,9.4841
2017-05-20,9.1846
2017-06-20,9.1748
2017-07-20,9.2968
2017-08-20,9.3338
2017-09-20,9.6606
2017-10-20,9.8077
2017-11-20,9.8066
2017-12-20,9.9012
2018-01-20,9.9012
2018-02-20,10.1691
2018-03-20,10.4325
2018-04-20,11.2172
2018-05-20,11.2162
2018-06-20,11.2176
2018-07-20,11.5286
2018-08-20,11.2962
2018-09-20,12.3265
2018-10-20,12.6444
2018-11-20,12.6435
2018-12-20,12.7835
2019-01-20,12.7835
2019-02-20,11.6997
2019-03-20,11.7849
2019-04-20,11.2304
2019-05-20,11.2383
2019-06-20,11.2351
2019-07-20,11.4466
2019-08-20,11.0449
2019-09-20,11.103
2019-10-20,11.2243
2019-11-20,11.2233
2019-12-20,11.2541
2020-01-20,11.2541
2020-02-20,10.827
2020-03-20,10.7524
2020-04-20,10.1944
2020-05-20,10.1857
2020-06-20,10.1855
2020-07-20,8.8901
2020-08-20,8.8255
2020-09-20,7.4985
2020-10-20,7.4695
2020-11-20,7.4689
2020-12-20,7.3273
2021-01-20,7.3273
2021-02-20,7.2159
2021-03-20,7.189
2021-04-20,8.3483
2021-05-20,8.349
2021-06-20,8.3485
2021-07-20,8.1991
2021-08-20,9.0664
2021-09-20,10.0054
2021-10-20,9.9484
2021-11-20,9.9479
2021-12-20,9.9901
2022-01-20,9.9901
2022-02-20,10.1059
2022-03-20,10.0884
2022-04-20,9.8286
2022-05-20,9.8171
2022-06-20,9.8176
2022-07-20,9.8561
2022-08-20,9.6925
2022-09-20,9.6188
2022-10-20,9.5904
2022-11-20,9.5596
2022-12-20,9.5991
2023-01-20,9.5991
2023-02-20,9.5511
2023-03-20,9.4454
2023-04-20,9.2814
2023-05-20,9.2777
2023-06-20,10.3466
2023-07-20,10.3442
2023-08-20,10.3193
2023-09-20,10.1005
2023-10-20,10.0464
2023-11-20,10.04
2023-12-20,11.0199
2024-01-20,11.0118
2024-02-20,10.9951
2024-03-20,10.9384
2024-04-20,9.9366
2024-05-20,9.9699
2024-06-20,9.9593
2024-07-20,9.9056
2024-08-20,9.9422
2024-09-20,10.2268
2024-10-20,10.1158
2024-11-20,10.1232
2024-12-20,10.6795
2025-01-20,10.6735
2025-02-20,10.6681
2025-03-20,10.6388
2025-04-20,11.2042
2025-05-20,11.1964
2025-06-20,10.9503
2025-07-20,10.9454
2025-08-20,10.9213
2025-09-20,10.6787
2025-10-20,10.7815
2025-11-20,10.6953
2025-12-20,10.5921
2026-01-20,10.5916
2026-02-20,10.4913
2026-03-20,10.481
2026-04-20,9.8938
